File name;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
Full/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_11_36_17;-;-;-;-;-;-;No;No;No
Full/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_11_39_31;-;-;-;-;-;-;No;No;No
Full/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_11_42_18;-;-;-;-;-;-;No;No;No
Full/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_11_44_22;-;-;-;-;-;-;No;No;No
Full/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_11_46_18;-;-;-;-;-;-;No;No;No
Full/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_11_48_07;-48,8843569884078;432,751019167715;3215,46424112352;1307,121;1070,451;731,517;Yes;No;No
Full/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_11_49_51;14,7088482130864;297,376498722074;969,682739382525;1292,653;1039,653;220,602;Yes;Yes;Yes

File name;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
Full/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_32_20;-48,0943528364153;439,733514309911;3208,05928610034;1306,941;1072,039;729,832;Yes;No;No
Full/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_33_26;-47,860405655163;428,136902238729;3221,25235723976;1306,888;1069,401;732,834;Yes;No;No
Full/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_34_02;-56,9640997067053;445,345923007904;3153,63730486017;1308,959;1073,316;717,451;Yes;No;No
Full/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_36_07;-42,8458803168984;419,546069093355;3236,62706970444;1305,747;1067,447;736,332;Yes;No;No
Full/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_36_54;-48,8843569884078;432,751019167715;3215,46424112352;1307,121;1070,451;731,517;Yes;No;No
Full/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_37_22;9,30303006049924;295,454531772113;505,238100253189;1293,883;1039,216;114,941;Yes;No;No
Full/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_39_20;-50,8960269423194;426,420231044719;3219,0242094471;1307,579;1069,011;732,327;Yes;No;No
Full/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_40_04;-48,8843569884078;432,751019167715;3215,46424112352;1307,121;1070,451;731,517;Yes;No;No
Full/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_40_55;-43,9229577811824;432,602608910561;3220,27785317737;1305,992;1070,417;732,612;Yes;No;No
Full/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_41_35;-43,4374007114884;417,717513663277;3237,33205654795;1305,882;1067,031;736,492;Yes;No;No

File name;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
Namee only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_27_01;-5,73042566710495;277,965972114448;787,006036256713;1297,303;1035,237;179,044;Yes;No;No
Namee only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_29_28;1111,88848524388;3826,31574536091;3507,27506620519;1043,045;1842,486;797,904;Yes;No;No
Namee only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_32_04;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_35_20;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_39_51;967,92044790625;1137,31161616999;2385,81264026786;1075,798;1230,738;542,772;Yes;No;No
Namee only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_43_00;4,65035039220198;289,956836777596;974,121043912616;1294,942;1037,965;221,612;Yes;Yes;No
Namee only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_48_28;3,11524056043914;265,200956187192;786,22748526252;1295,291;1032,333;178,866;Yes;No;No
Namee only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_50_47;7,45732549837708;290,54360673699;347,620730662038;1294,303;1038,099;79,084;Yes;No;Yes
Namee only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_55_21;-16,5574173916456;276,733685131673;809,382322188968;1299,767;1034,957;184,134;Yes;No;No
Namee only/vacuum_gripper_huggingface_auto_google_gemma-4-31B-it_20260625_12_59_06;5,46699801695661;286,024023882733;989,8894062295;1294,756;1037,07;225,2;Yes;Yes;Yes

File name;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
Namee only/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_11_52_17;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_11_53_39;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_11_58_18;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_12_01_18;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_12_03_26;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_12_09_44;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_12_12_59;19,1569501768257;289,646560533844;974,464687418171;1291,642;1037,895;221,69;Yes;Yes;Yes
Namee only/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_12_16_40;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_12_20_17;-;-;-;-;-;-;No;No;No
Namee only/vacuum_gripper_huggingface_featherless-ai_stepfun-ai_Step-3.7-Flash_20260703_12_22_46;-;-;-;-;-;-;No;No;No

File name;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results
Namee only/vacuum_gripper_huggingface_novita_MiniMaxAI_MiniMax-M3_20260703_10_43_29;-2,45675987859776;419,39315445611;3276,86104662412;1296,559;1067,412;745,485;Yes;No;No
