Results Summary — New Prompt — Name Only;;;;;;;;;;;
Model;Total;Detected;Succeeded;Success rate;Many-result runs;;;;;;
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5-mini_20260717_16_50_07;Yes;-846,666;-1403,914;138,725;1488,616;652,61;31,56;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5-mini_20260717_16_52_36;Yes;34,09;200,489;1368,243;1288,244;1017,611;311,275;Yes;No;No;Outside ±6 px tolerance: y_px, r_px
old models/vacuum_gripper/new prompt/full_specs/vacuum_gripper_openai_gpt-5-mini_20260717_16_55_25;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
;;;;;;;;;;;
;;;;;;;;;;;
Detailed Results — New Prompt 1 — Name Only;;;;;;;;;;;
anthropic / claude-sonnet-4-5;;;;;;;;;;;
File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results;Failure cause
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_05_58;No;-;-;-;-;-;-;No;No;No;No circles found
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_07_31;No;-;-;-;-;-;-;No;No;No;No circles found
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_10_02;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_11_33;Yes;-63,803;451,293;3106,52;1310,515;1074,669;706,732;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_12_40;No;-;-;-;-;-;-;No;No;No;No circles found
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_13_56;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_15_00;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_16_43;Yes;-59,432;458,776;3040,983;1309,521;1076,371;691,823;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_17_44;Yes;4,428;289,971;971,043;1294,992;1037,968;220,912;Yes;Yes;No;
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_18_43;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
;;;;;;;;;;;
openai / gpt-5;;;;;;;;;;;
File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results;Failure cause
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5_20260717_13_40_06;Yes;602,187;4339,89;205,818;1159,002;1959,324;46,824;Yes;No;Yes;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5_20260717_13_41_22;Yes;-141,02;22,246;1164,332;1328,082;977,061;264,885;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5_20260717_15_31_10;Yes;5,556;286,387;989,875;1294,736;1037,153;225,196;Yes;Yes;No;
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5_20260717_15_35_19;Yes;6,023;289,089;980,24;1294,629;1037,768;223,004;Yes;Yes;No;
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5_20260717_15_38_03;Yes;-0,989;298,407;666,767;1296,225;1039,887;151,689;Yes;No;No;Outside ±6 px tolerance: r_px
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5_20260717_15_40_47;Yes;6,135;286,456;988,428;1294,604;1037,169;224,867;Yes;Yes;No;
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5_20260717_15_42_03;Yes;1743,965;1417,907;260,435;899,248;1294,573;59,249;Yes;No;Yes;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5_20260717_15_43_25;Yes;5,513;285,992;989,82;1294,746;1037,063;225,184;Yes;Yes;No;
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5_20260717_15_45_36;Yes;6,162;288,62;986,258;1294,598;1037,661;224,373;Yes;Yes;No;
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5_20260717_15_47_59;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
;;;;;;;;;;;
openai / gpt-5-mini;;;;;;;;;;;
File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results;Failure cause
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_15_51_44;Yes;163,147;197,743;3942,168;1258,884;1016,987;896,842;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_15_54_29;Yes;493,356;1116,901;1024,031;1183,761;1226,095;232,967;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_15_57_47;Yes;2738,42;3443,578;431,523;673,01;1755,413;98,171;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_16_00_37;Yes;3361,483;357,444;4590,174;531,263;1053,318;1044,263;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_16_02_32;Yes;-34,348;422,706;3241,548;1303,814;1068,165;737,451;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_16_07_16;Yes;1178,112;5719,616;2042,413;1027,98;2273,211;464,648;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_16_09_24;Yes;4052,487;552,98;4809,386;374,06;1097,803;1094,134;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_16_10_39;Yes;-396,227;2742,649;865,847;1386,141;1595,952;196,98;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_16_12_36;Yes;135,807;413,584;2786,726;1265,104;1066,09;633,979;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/name_only/vacuum_gripper_openai_gpt-5-mini_20260717_16_14_07;Yes;116,147;597,428;1611,062;1269,576;1107,915;366,516;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
;;;;;;;;;;;
;;;;;;;;;;;
Detailed Results — New Prompt 1 — Full Specs;;;;;;;;;;;
anthropic / claude-sonnet-4-5;;;;;;;;;;;
File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results;Failure cause
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_20_14;Yes;113,247;126,791;3593,254;1270,236;1000,845;817,464;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_23_08;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_24_26;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_25_29;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_27_03;Yes;-49,113;436,63;3216,704;1307,173;1071,333;731,799;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_28_12;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_29_42;Yes;217,379;-92,843;3902,177;1246,546;950,878;887,744;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_31_27;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_33_14;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_anthropic_claude-sonnet-4-5_20260720_10_34_36;No;-;-;-;-;-;-;No;No;No;"vision_ok is false; no circle detected"
;;;;;;;;;;;
openai / gpt-5;;;;;;;;;;;
File name;vision_ok;x;y;r;x_px;y_px;r_px;Detected;Succeeded;Many results;Failure cause
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_openai_gpt-5_20260731_11_51_09;Yes;740,391;832,459;610,475;1127,561;1161,384;138,883;Yes;No;No;Outside ±6 px tolerance: x_px, y_px, r_px
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_openai_gpt-5_20260731_11_54_18;Yes;4,304;290,361;970,552;1295,021;1038,057;220,8;Yes;Yes;No;
old models/vacuum_gripper/new prompt 1/full_specs/vacuum_gripper_openai_gpt-5_20260731_11_56_21;Yes;4,294;290,376;970,58;1295,023;1038,061;220,807;Yes;Yes;No;
